Variable,en,de
HOME_HEADER,"👋 Hi, I'm your AI essay tutor :)","👋 Hallo! Hier ist Dein KI Tutor für Aufsätze :)"
HOME_TITLE_HEADER,Please enter the title of your essay,"Gib hier den Titel deines Aufsatzes ein"
HOME_TITLE_PLACEHOLDER,"My cool title","Mein cooler Titel"
HOME_TITLE_BUTTON,"Next","Weiter"
SIDEBAR_HEADER,"AI-Assisted Writing","KI-gestütztes Schreiben"
SIDEBAR_CATEGORY,Choose the essay category,"Wähle deinen Aufsatztyp"
SIDEBAR_SCHOOL,"Choose your type of school","Wähle deine Schulart"
SIDEBAR_YEAR,"Choose your study year","Wähle deinen Jahrgang"
SIDEBAR_STATE,"Choose your country/state","Wähle dein Bundesland"
INPUT_TYPE_HEADER,"Do you want to upload a picture of your essay or input text manually?","Möchtest du ein Bild deines Aufsatzes hochladen oder den Text eingeben?"
INPUT_TYPE_BUTTON,"Next","Weiter"
INPUT_TYPE_PICTURE,"Upload a picture","Bild hochladen"
INPUT_TYPE_TEXT,"Input text","Text eingeben"
UPLOAD_IMAGE_HEADER,"Upload a picture of your essay","Lade ein Bild deines Aufsatzes hoch"
UPLOAD_IMAGE_ESSAY,"Upload a picture of your essay","Lade ein Bild deines Aufsatzes hoch"
UPLOAD_IMAGE_TEACHER,"(optional) Upload a picture of teacher's correction","(optional) Lade ein Bild der Korrektur deines Lehrers hoch"
UPLOAD_IMAGE_WAITING,"Recognizing...","Schrifterkennung..."
UPLOAD_IMAGE_CORRECT_MISTAKES,"Please correct the OCR mistakes","Bitte korrigiere die Fehler der automatischen Schrifterkennung"
UPLOAD_IMAGE_ESSAY,"Essay","Aufsatz"
UPLOAD_IMAGE_TEACHER,"Teacher correction","Korrektur des Lehrers"
UPLOAD_IMAGE_BUTTON,"Done","Fertig"
INPUT_TEXT_HEADER,"Enter you essay here :)","Gib deinen Aufsatz hier ein :)"
INPUT_TEXT_PLACEHOLDER,"Dear Diary...","Liebes Tagebuch..."
INPUT_TEXT_BUTTON,"Submit","Senden"
INPUT_TEXT_MODIFY,"Modify your essay :)","Mache deinen Aufsatz besser :)"
INPUT_TEXT_ORIGINAL,"Original Essay","Ursprünglicher Aufsatz"
INPUT_TEXT_PLACEHOLDER_MODIFY,"Change your essay here","Ändere deinen Aufsatz hier"
FEEDBACK_HEADER,"Your Feedbacks","Dein Feedback"
FEEDBACK_RESET,"Reset","Zurücksetzen"
FEEDBACK_MODIFY,"Modify essay","Aufsatz bearbeiten"
LOGIN_HEADER,"Please enter the passcode","Passwort eingeben"
LOGIN_SUCCESS,"The passcode is correct. You will be redirected to the app soon...","Das Passwort ist korrekt. Du wirst automatisch weitergeleitet..."
LOGIN_FAILURE,"The passcode is wrong.","Das eingegebene Passwort ist falsch."
,,
